name;year;mileage;engine_power_kW;engine_power_hp;fuel;consumption;ecology;gearbox;price;currency
Opel Meriva;2005;192800 km;74 kW ;101 hp;Gasoline;7.3 l/100 km ;175 g CO2/km ;Manual;1190,00;EUR
Peugeot 206;2002;165092 km;80 kW ;109 hp;Gasoline;6.9 l/100 km ;166 g CO2/km ;Manual;1199,00;EUR
Mazda 2;2006;148800 km;59 kW ;80 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Manual;1200,00;EUR
Mercedes-Benz Vito;2001;250000 km;105 kW ;143 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Automatic;1200,00;EUR
Opel Astra;1996;115000 km;74 kW ;101 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Manual;1200,00;EUR
Mercedes-Benz A 190;2001;120670 km;92 kW ;125 hp;Gasoline;8.2 l/100 km ;196 g CO2/km ;Automatic;1200,00;EUR
Peugeot 206;2003;180000 km;68 kW ;92 hp;Gasoline;6.3 l/100 km ;151 g CO2/km ;Manual;1200,00;EUR
Ford Fusion;2006;166000 km;59 kW ;80 hp;Gasoline;6.8 l/100 km ;162 g CO2/km ;Automatic;1250,00;EUR
Mercedes-Benz C 220;2004;300000 km;110 kW ;150 hp;Diesel;7.3 l/100 km ;194 g CO2/km ;Automatic;1280,00;EUR
Citroen Berlingo;2007;190932 km;55 kW ;75 hp;Diesel;-/- (l/100 km);-/- (CO2/km);Manual;1290,00;EUR
Mazda 6;2006;245000 km;89 kW ;121 hp;Diesel;6 l/100 km ;165 g CO2/km ;Manual;1290,00;EUR
Ford Fusion;2005;185282 km;59 kW ;80 hp;Gasoline;6.9 l/100 km ;155 g CO2/km ;Manual;1290,00;EUR
Opel Vectra;2005;196000 km;114 kW ;155 hp;Gasoline;8.2 l/100 km ;197 g CO2/km ;Manual;1290,00;EUR
Volkswagen Sharan;2003;204000 km;96 kW ;131 hp;Diesel;6.2 l/100 km ;167 g CO2/km ;Manual;1300,00;EUR
Mazda 6;2005;152000 km;122 kW ;166 hp;Gasoline;9.1 l/100 km ;218 g CO2/km ;Manual;1300,00;EUR
Kia Rio;2003;161000 km;71 kW ;97 hp;Gasoline;7.1 l/100 km ;169 g CO2/km ;Manual;1300,00;EUR
Ford Fiesta;2007;180000 km;50 kW ;68 hp;Diesel;4.5 l/100 km ;119 g CO2/km ;Manual;1300,00;EUR
Audi A4;1996;170000 km;74 kW ;101 hp;Gasoline;8.2 l/100 km ;197 g CO2/km ;Manual;1300,00;EUR
Audi A3;2000;230800 km;74 kW ;101 hp;Gasoline;7.8 l/100 km ;187 g CO2/km ;Manual;1390,00;EUR
Opel Vectra;2005;193000 km;114 kW ;155 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Manual;1390,00;EUR
Mazda 6;2007;214000 km;89 kW ;121 hp;Diesel;6.1 l/100 km ;167 g CO2/km ;Manual;1399,00;EUR
Mazda 6;2007;185000 km;105 kW ;143 hp;Diesel;6.1 l/100 km ;167 g CO2/km ;Manual;1399,00;EUR
Volkswagen Golf Cabriolet;2000;170000 km;74 kW ;101 hp;Gasoline;8 l/100 km ;192 g CO2/km ;Manual;1400,00;EUR
Opel Corsa;2001;163799 km;40 kW ;54 hp;Gasoline;5.6 l/100 km ;134 g CO2/km ;Manual;1469,00;EUR
Mercedes-Benz C 220;2002;296000 km;105 kW ;143 hp;Diesel;6.3 l/100 km ;167 g CO2/km ;Automatic;1490,00;EUR
Renault R 5;1995;155000 km;#NAZWA?;#NAZWA?;Gasoline;-/- (l/100 km);-/- (CO2/km);Manual;1490,00;EUR
Ford Mondeo;2006;149799 km;107 kW ;145 hp;Gasoline;9.6 l/100 km ;231 g CO2/km ;Automatic;1498,00;EUR
Audi A3;1999;168000 km;92 kW ;125 hp;Gasoline;8.5 l/100 km ;204 g CO2/km ;Manual;1499,00;EUR
Ford Fiesta;2000;78000 km;44 kW ;60 hp;Gasoline;7.3 l/100 km ;173 g CO2/km ;Manual;1499,00;EUR
Volkswagen New Beetle;1999;265143 km;66 kW ;90 hp;Diesel;-/- (l/100 km);-/- (CO2/km);Manual;1500,00;EUR
