name,mark,year,mileage,engine_power_kW,engine_power_hp,fuel_type,consumption_(l/100 km),ecology_(gCO2/km),gearbox,price,currency,country,engine_size,nr_of_accidents,color_exterior,color_interior,price_eur
nissan pixo,nissan,2010,106202.0,50.0,68.0,Gasoline,,,Manual,3399.0,EUR,Germany,0.0,,unknown,unknown,3399.0
fiat punto,fiat,2011,112850.0,51.0,69.0,Gasoline,5.2,123.0,Manual,3400.0,EUR,Germany,0.0,,unknown,unknown,3400.0
ford focus,ford,2007,111000.0,80.0,109.0,Diesel,4.8,127.0,Manual,3400.0,EUR,Germany,0.0,,unknown,unknown,3400.0
toyota aygo,toyota,2011,131724.0,50.0,68.0,Gasoline,4.6,103.0,Manual,3400.0,EUR,Germany,0.0,,unknown,unknown,3400.0
audi a4,audi,1998,70100.0,121.0,165.0,Gasoline,10.0,240.0,Automatic,3480.0,EUR,Germany,0.0,,unknown,unknown,3480.0
mercedes-benz e 320,mercedes,2005,334000.0,165.0,224.0,Diesel,8.1,202.0,Automatic,3490.0,EUR,Germany,0.0,,unknown,unknown,3490.0
volvo s40,volvo,2004,147703.0,100.0,136.0,Diesel,5.6,148.0,Manual,3490.0,EUR,Germany,0.0,,unknown,unknown,3490.0
mercedes-benz vario,mercedes,1999,507792.0,112.0,152.0,Diesel,,,Manual,3490.0,EUR,Germany,0.0,,unknown,unknown,3490.0
suzuki splash,suzuki,2010,100923.0,63.0,86.0,Gasoline,5.5,131.0,Manual,3490.0,EUR,Germany,0.0,,unknown,unknown,3490.0
kia carens,kia,2010,271085.0,85.0,116.0,Diesel,6.3,166.0,Manual,3490.0,EUR,Germany,0.0,,unknown,unknown,3490.0
opel astra,opel,2005,120000.0,92.0,125.0,Gasoline,8.6,206.0,Automatic,3490.0,EUR,Germany,0.0,,unknown,unknown,3490.0
bmw 316,bmw,2004,180000.0,85.0,116.0,Gasoline,6.9,164.0,Manual,3490.0,EUR,Germany,0.0,,unknown,unknown,3490.0
